City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
174,Ketchikan,US,2021-08-14 16:54:36,55.3422,-131.6461,61.18,90,76,3.67,broken clouds
175,Lorengau,PG,2021-08-14 16:54:36,-2.0226,147.2712,80.92,82,45,9.35,scattered clouds
176,Powassan,CA,2021-08-14 16:54:37,46.0334,-79.3496,66.65,63,1,9.69,clear sky
177,Nalut,LY,2021-08-14 16:54:37,30.3333,10.85,97.05,15,5,14.12,clear sky
178,Tilichiki,RU,2021-08-14 16:54:37,60.4667,166.1,48.7,90,66,1.97,broken clouds
179,Cape Town,ZA,2021-08-14 16:50:56,-33.9258,18.4232,61.21,65,0,3.0,clear sky
180,Boende,CD,2021-08-14 16:54:38,-0.2167,20.8667,78.39,73,41,0.51,scattered clouds
181,Marsh Harbour,BS,2021-08-14 16:54:38,26.5412,-77.0636,84.4,70,78,16.64,broken clouds
182,Sol-Iletsk,RU,2021-08-14 16:54:39,51.1631,54.9918,71.51,24,7,4.65,clear sky
183,Watertown,US,2021-08-14 16:50:00,42.3709,-71.1828,91.51,62,40,1.01,scattered clouds
184,Atar,MR,2021-08-14 16:54:39,20.5169,-13.0499,109.29,12,24,20.07,few clouds
185,Itaituba,BR,2021-08-14 16:54:40,-4.2761,-55.9836,86.16,70,75,0.0,broken clouds
186,Salalah,OM,2021-08-14 16:54:40,17.0151,54.0924,76.19,94,100,6.26,overcast clouds
187,Umm Lajj,SA,2021-08-14 16:54:40,25.0213,37.2685,88.9,66,0,9.35,clear sky
188,Cabedelo,BR,2021-08-14 16:54:41,-6.9811,-34.8339,84.87,73,27,16.75,scattered clouds
189,Tuktoyaktuk,CA,2021-08-14 16:54:41,69.4541,-133.0374,44.6,87,90,12.66,overcast clouds
190,Yakeshi,CN,2021-08-14 16:54:41,49.2833,120.7333,55.92,87,27,2.26,scattered clouds
191,Strezhevoy,RU,2021-08-14 16:54:42,60.7333,77.5889,62.58,94,80,6.24,broken clouds
192,Waipawa,NZ,2021-08-14 16:54:42,-41.4122,175.5153,38.03,83,11,5.17,few clouds
193,Biltine,TD,2021-08-14 16:54:42,14.5333,20.9167,87.21,50,57,6.51,broken clouds
194,Funtua,NG,2021-08-14 16:54:43,11.5233,7.3081,76.26,78,79,5.73,light rain
195,Ozernovskiy,RU,2021-08-14 16:54:43,51.5,156.5167,51.62,84,6,5.82,clear sky
196,Rosenberg,SK,2021-08-14 16:54:43,49.0748,19.3075,81.36,67,40,1.25,scattered clouds
197,Porto Novo,BJ,2021-08-14 16:54:17,6.4965,2.6036,82.22,69,79,10.4,broken clouds
198,Gohpur,IN,2021-08-14 16:54:44,26.8833,93.6333,76.55,96,100,2.3,overcast clouds
199,Hillsborough,US,2021-08-14 16:54:44,37.5741,-122.3794,81.72,83,40,1.01,scattered clouds
200,Mahebourg,MU,2021-08-14 16:54:23,-20.4081,57.7,73.69,73,75,12.66,light rain
201,Lyuban,BY,2021-08-14 16:54:45,52.7985,28.0048,70.41,64,79,7.02,broken clouds
202,Iquitos,PE,2021-08-14 16:54:45,-3.7481,-73.2472,84.24,70,75,4.61,broken clouds
203,Dzaoudzi,YT,2021-08-14 16:54:45,-12.7887,45.2699,76.89,83,40,6.91,scattered clouds
204,Paptalaya,HN,2021-08-14 16:54:46,15.5,-84.3167,89.64,53,30,4.45,scattered clouds
205,Asfi,MA,2021-08-14 16:54:46,32.2994,-9.2372,80.33,61,22,11.63,few clouds
206,Nome,US,2021-08-14 16:51:23,64.5011,-165.4064,48.27,87,90,14.97,light rain
207,Haines Junction,CA,2021-08-14 16:54:47,60.7522,-137.5108,48.15,93,100,1.14,overcast clouds
208,Kahului,US,2021-08-14 16:54:47,20.8947,-156.47,74.46,93,33,13.04,scattered clouds
209,Ishigaki,JP,2021-08-14 16:54:47,24.3448,124.1572,82.65,84,19,17.31,few clouds
